opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
L-BFGS,0.009926672281943173,0.0035977399439092953,24,0.036033,0.00104104,f threshold reached
MGD,0.009966893592153428,0.42614412609513797,397,0.265241,0.000191143216080402,f threshold reached
