opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
L-BFGS,0.009375390610429924,0.023332657887012533,77,0.107097,0.0009496282051282053,f threshold reached
MGD,0.06157745447249085,0.18075066866148284,500,0.277253,0.000170166,max it. reached
