opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
3,0.008432123166801872,0.005052560430183054,64,0.086079,0.001016323076923077,f threshold reached
5,0.009024241921876355,0.0071947522596801615,302,0.338307,0.0006606897689768977,f threshold reached
7,0.009805770718321297,0.005739506718560988,44,0.06606,0.0009341777777777777,f threshold reached
10,0.00981677037665292,0.0035317972841547667,67,0.086078,0.0009126176470588236,f threshold reached
15,0.009638161993233802,0.004459845558037841,236,0.481955,0.001632350210970464,f threshold reached
20,0.009258850526266113,0.004049278723200163,62,0.092086,0.0010962222222222224,f threshold reached
25,0.009774880961675777,0.004273670030049325,321,0.537156,0.0013045031055900621,f threshold reached
30,0.009346218420768384,0.008372232854051247,43,0.067062,0.0012056818181818182,f threshold reached
