opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
3,0.9942330094909977,0.7128831586739893,151,11.59624,0.06722125,f threshold reached
20,0.9958637966963004,0.3012408411804438,73,5.737598,0.06836756756756757,f threshold reached
10,0.9963638569289532,0.5692389617910844,87,7.073682,0.07112490909090909,f threshold reached
7,0.9977479921517383,0.34037924812668635,108,8.41745,0.06812341284403671,f threshold reached
5,0.99780021546704,0.6148351208144774,129,9.879165,0.06683040769230769,f threshold reached
15,0.9981351850256639,0.28460685317534556,85,6.640781,0.0678937558139535,f threshold reached
25,0.9989076924601125,0.28878380764078526,67,5.367895,0.06986517647058826,f threshold reached
30,0.9995841642464186,0.3353354888181267,66,5.233396,0.06905732835820895,f threshold reached
