opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
L-BFGS,0.009705597068265973,0.005890264703944649,84,0.111122,0.0008480705882352943,f threshold reached
MGD,0.03802847003011945,0.08621684347867428,500,0.27525,0.00015615,max it. reached
