opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
15,0.008110842247024751,0.009096247709288375,87,0.174663,0.0014672840909090907,f threshold reached
25,0.00850242896910487,0.006929971459285875,26,0.058053,0.001519925925925926,f threshold reached
10,0.00852051143591358,0.010097191981660173,44,0.071065,0.001067688888888889,f threshold reached
7,0.008852960028954549,0.004731410867028572,39,0.052047,0.000775775,f threshold reached
3,0.008947611489458012,0.002129854649997336,35,0.050045,0.0008063055555555556,f threshold reached
5,0.009313963010228488,0.002488350215234722,23,0.030028,0.0007090416666666665,f threshold reached
20,0.009588422389854226,0.002592365955338157,70,0.108353,0.0010469154929577467,f threshold reached
30,0.009951026579000606,0.002649622229419677,39,0.067061,0.0012011250000000002,f threshold reached
