opt,f *,||g_k||,# iterations,total time (s),mean time per it. (s),stop reason
10,0.007829155997737168,0.006970045146879558,53,0.080073,0.0010750185185185186,f threshold reached
3,0.008355145873218367,0.022776805281654985,115,0.157142,0.0010354224137931033,f threshold reached
25,0.008498284121449595,0.023293261843512766,100,0.160145,0.0011792970297029705,f threshold reached
7,0.008953713162615251,0.01889462180391386,107,0.140127,0.0008897037037037038,f threshold reached
5,0.009397910817904765,0.010845062141400632,68,0.093084,0.0008703623188405799,f threshold reached
15,0.0093989678641182,0.006645964758650226,73,0.113103,0.0011361486486486487,f threshold reached
30,0.009674935919535775,0.0037748344190451657,36,0.059055,0.0012984054054054055,f threshold reached
20,0.009842666391455106,0.0025429940475231953,69,0.111101,0.001201057142857143,f threshold reached
